month,ticker,month_end_price,prev_month_price,monthly_return
1994-02-01 00:00:00+07,AAPL,0.274452,0.246404,0.11382932095258193860
1994-03-01 00:00:00+07,AAPL,0.250081,0.274452,-0.08879876991240726976
1994-04-01 00:00:00+07,AAPL,0.225689,0.250081,-0.09753639820698093818
1994-05-01 00:00:00+07,AAPL,0.219974,0.225689,-0.02532245700942447350
1994-06-01 00:00:00+07,AAPL,0.199261,0.219974,-0.09416112813332484748
1994-07-01 00:00:00+07,AAPL,0.25341,0.199261,0.27174911297243314045
1994-08-01 00:00:00+07,AAPL,0.272016,0.25341,0.07342251686989463715
1994-09-01 00:00:00+07,AAPL,0.25341,0.272016,-0.06840038821245809070
1994-10-01 00:00:00+07,AAPL,0.324792,0.25341,0.28168580561145968983
1994-11-01 00:00:00+07,AAPL,0.280139,0.324792,-0.13748183452794403803
1994-12-01 00:00:00+07,AAPL,0.293345,0.280139,0.04714088363276801873
1995-01-01 00:00:00+07,AAPL,0.303917,0.293345,0.03603947570267091650
1995-02-01 00:00:00+07,AAPL,0.297364,0.303917,-0.02156180799362983973
1995-03-01 00:00:00+07,AAPL,0.265148,0.297364,-0.10833860184823986764
1995-04-01 00:00:00+07,AAPL,0.287648,0.265148,0.08485826783532215970
1995-05-01 00:00:00+07,AAPL,0.3127,0.287648,0.08709255757036377795
1995-06-01 00:00:00+07,AAPL,0.349401,0.3127,0.11736808442596738088
1995-07-01 00:00:00+07,AAPL,0.33853,0.349401,-0.03111324810175128291
1995-08-01 00:00:00+07,AAPL,0.323551,0.33853,-0.04424718636457625617
1995-09-01 00:00:00+07,AAPL,0.280139,0.323551,-0.13417359241665147071
1995-10-01 00:00:00+07,AAPL,0.27327,0.280139,-0.02451997044324424661
1995-11-01 00:00:00+07,AAPL,0.286761,0.27327,0.04936875617521132945
1995-12-01 00:00:00+07,AAPL,0.23988,0.286761,-0.16348457426219046523
1996-01-01 00:00:00+07,AAPL,0.207899,0.23988,-0.13332082708020677005
1996-02-01 00:00:00+07,AAPL,0.206975,0.207899,-0.00444446582234642783
1996-03-01 00:00:00+07,AAPL,0.184782,0.206975,-0.10722551032733421911
1996-04-01 00:00:00+07,AAPL,0.183243,0.184782,-0.00832873331818034224
1996-05-01 00:00:00+07,AAPL,0.19651,0.183243,0.07240112855607035467
1996-06-01 00:00:00+07,AAPL,0.158026,0.19651,-0.19583736196631214696
1996-07-01 00:00:00+07,AAPL,0.165556,0.158026,0.04765038664523559414
1996-08-01 00:00:00+07,AAPL,0.182318,0.165556,0.10124670806252869120
1996-09-01 00:00:00+07,AAPL,0.166696,0.182318,-0.08568545069603659540
1996-10-01 00:00:00+07,AAPL,0.173035,0.166696,0.03802730719393386764
1996-11-01 00:00:00+07,AAPL,0.181488,0.173035,0.04885138844742393157
1996-12-01 00:00:00+07,AAPL,0.157119,0.181488,-0.13427334038614123248
1997-01-01 00:00:00+07,AAPL,0.125248,0.157119,-0.20284625029436287145
1997-02-01 00:00:00+07,AAPL,0.122123,0.125248,-0.02495049821154828820
1997-03-01 00:00:00+07,AAPL,0.137221,0.122123,0.12362945554891380002
1997-04-01 00:00:00+07,AAPL,0.127839,0.137221,-0.06837145917898863877
1997-05-01 00:00:00+07,AAPL,0.125248,0.127839,-0.02026768044180570874
1997-06-01 00:00:00+07,AAPL,0.107124,0.125248,-0.14470490546755237609
1997-07-01 00:00:00+07,AAPL,0.131831,0.107124,0.23063925917628169224
1997-08-01 00:00:00+07,AAPL,0.163731,0.131831,0.24197646987430877411
1997-09-01 00:00:00+07,AAPL,0.163139,0.163731,-0.00361568670563302001
1997-10-01 00:00:00+07,AAPL,0.128165,0.163139,-0.21438160096604735839
1997-11-01 00:00:00+07,AAPL,0.133595,0.128165,0.04236726095267818827
1997-12-01 00:00:00+07,AAPL,0.0987078,0.133595,-0.26114150978704292825
1998-01-01 00:00:00+07,AAPL,0.13786,0.0987078,0.39664747872002009973
1998-02-01 00:00:00+07,AAPL,0.177913,0.13786,0.29053387494559698245
